result,matchday,home_form_pts,home_form_gf,home_form_ga,home_form_gd,home_form_wins,home_form_draws,away_form_pts,away_form_gf,away_form_ga,away_form_gd,away_form_wins,away_form_draws,home_home_pts,home_home_gd,away_away_pts,away_away_gd,pts_diff,gd_diff,home_position,away_position,position_diff,home_league_pts,away_league_pts,league_pts_diff,home_league_gd,away_league_gd,elo_home,elo_away,elo_diff,home_shots_avg,home_shots_against_avg,home_sot_avg,home_sot_against_avg,away_shots_avg,away_shots_against_avg,away_sot_avg,away_sot_against_avg,shots_diff,sot_diff,corners_diff
H,20,8,10.0,7.0,3.0,2,2,5,10.0,12.0,-2.0,1,2,6,4.0,5,2.0,3,5.0,10,17,7,8,6,2,2.0,-2.0,1501.0517788600216,1484.5767783907982,16.47500046922346,12.0,11.4,4.4,3.4,12.8,14.0,4.8,4.6,-0.8000000000000007,-0.39999999999999947,0
D,20,6,7.0,6.0,1.0,1,3,5,9.0,10.0,-1.0,1,2,5,1.0,4,0.0,1,2.0,7,11,4,10,9,1,2.0,0.0,1515.6513999661363,1498.4564368325002,17.194963133636293,14.8,8.2,4.2,4.0,11.0,16.6,3.8,4.6,3.8000000000000007,0.40000000000000036,0
A,20,4,2.0,6.0,-4.0,0,4,7,9.0,8.0,1.0,2,1,2,-2.0,4,1.0,-3,-5.0,19,8,-11,4,10,-6,-7.0,2.0,1457.554861628351,1498.880203097843,-41.325341469491605,11.4,14.0,3.6,4.6,11.4,11.6,4.0,5.0,0.0,-0.3999999999999999,0
A,20,8,8.0,7.0,1.0,2,2,13,16.0,6.0,10.0,4,1,4,0.0,7,5.0,-5,-9.0,15,1,-14,8,19,-11,-2.0,14.0,1486.8474411618672,1588.1573601668842,-101.30991900501704,12.6,13.6,4.2,3.2,13.8,12.2,6.0,2.8,-1.200000000000001,-1.7999999999999998,0
H,20,4,9.0,12.0,-3.0,1,1,6,3.0,9.0,-6.0,2,0,1,-4.0,6,-1.0,-2,3.0,17,10,-7,6,10,-4,-3.0,-5.0,1469.3349120522544,1498.6808171204657,-29.345905068211096,13.2,14.4,5.6,4.8,7.0,16.0,1.8,4.4,6.199999999999999,3.8,0
H,20,8,9.0,6.0,3.0,2,2,5,4.0,7.0,-3.0,1,2,4,1.0,5,1.0,3,6.0,2,6,4,14,11,3,7.0,2.0,1546.370124095786,1513.782596021006,32.58752807478004,18.8,8.8,5.4,3.2,8.8,11.2,3.2,4.4,10.0,2.2,0
H,20,3,7.0,12.0,-5.0,0,3,8,9.0,8.0,1.0,2,2,2,-2.0,3,-3.0,-5,-6.0,18,12,-6,4,9,-5,-7.0,-1.0,1457.9919331108565,1499.2249657012676,-41.23303259041131,15.4,11.0,4.0,5.0,10.8,18.0,3.2,5.0,4.6,0.7999999999999998,0
H,20,12,10.0,3.0,7.0,4,0,6,5.0,4.0,1.0,1,3,7,5.0,2,-1.0,6,6.0,3,13,10,13,8,5,6.0,1.0,1528.0939849334331,1500.88569798708,27.208286946353155,13.0,7.4,6.2,2.8,11.8,13.6,3.8,4.6,1.1999999999999993,2.4000000000000004,0
A,20,4,4.0,10.0,-6.0,1,1,7,7.0,6.0,1.0,2,1,4,0.0,3,-1.0,-3,-7.0,20,10,-10,4,10,-6,-11.0,0.0,1443.4513382016985,1501.924285222386,-58.4729470206878,13.6,14.6,3.4,6.2,17.8,8.8,5.8,3.6,-4.200000000000001,-2.4,0
H,20,7,5.0,6.0,-1.0,2,1,5,7.0,7.0,0.0,1,2,3,-1.0,4,-1.0,2,-1.0,15,7,-8,8,11,-3,-2.0,2.0,1484.556900194326,1508.6404575930876,-24.08355739876174,12.4,13.8,3.6,2.4,9.8,16.0,3.6,4.4,2.5999999999999996,0.0,0
